BASE: 24
1 (1)
24 (10)
576 (100)
1204 (224)
1250 (242)
2354 (422)
5008 (8GG)
9424 (G8G)
9608 (GG8)
13824 (1000)
24718 (1ILM)
24741 (1IML)
26374 (1LIM)
26466 (1LMI)
26949 (1MIL)
27018 (1MLI)
27700 (2024)
27746 (2042)
28804 (2204)
28896 (2240)
29954 (2402)
30000 (2420)
39668 (2KKK)
50639 (3FLN)
50685 (3FNL)
53493 (3KKL)
53516 (3KLK)
53951 (3LFN)
54068 (3LKK)
54135 (3LNF)
55101 (3NFL)
55239 (3NLF)
55346 (4022)
56450 (4202)
56496 (4220)
57908 (44CK)
58092 (44KC)
62324 (4C4K)
62692 (4CK4)
66924 (4K4C)
67108 (4KC4)
76031 (5BNN)
79391 (5HJN)
79483 (5HNJ)
80495 (5JHN)
80633 (5JNH)
82655 (5NBN)
82795 (5NHJ)
82841 (5NJH)
82931 (5NNB)
93262 (6HLM)
93285 (6HML)
93791 (6IJN)
93883 (6INJ)
94343 (6JIN)
94458 (6JNI)
95470 (6LHM)
95585 (6LMH)
96045 (6MHL)
96137 (6MLH)
96643 (6NIJ)
96666 (6NJI)

BASE: 28
1 (1)
28 (10)
784 (100)
6632 (8CO)
6956 (8OC)
9656 (C8O)
10088 (CO8)
19052 (O8C)
19160 (OC8)
21952 (1000)
22769 (1115)
22877 (1151)
24391 (1333)
25901 (1511)
45532 (2224)
45586 (2242)
45778 (22AQ)
46210 (22QA)
47098 (2422)
51826 (2A2Q)
52158 (2AEM)
52374 (2AME)
52474 (2AQ2)
55182 (2EAM)
55506 (2EMA)
61446 (2MAE)
61554 (2MEA)
64354 (2Q2A)
64570 (2QA2)
66727 (3133)
68239 (3313)
68293 (3331)
89434 (4222)

BASE: 44
1 (1)
44 (10)
1936 (100)
3966 (226)
4138 (262)
11706 (622)
16580 (8Oa)
17096 (8aO)
46852 (O8a)
47548 (OOS)
47720 (OSO)
48056 (Oa8)
55288 (SOO)
57857 (Tcf)
57986 (Tfc)
61555 (VYh)
61942 (VhY)
67231 (YVh)
67747 (YhV)
70072 (a8O)
70760 (aO8)
74885 (cTf)
75401 (cfT)
80690 (fTc)
81077 (fcT)
84646 (hVY)
84775 (hYV)
85184 (1000)
91129 (1335)
91215 (1353)
94999 (1533)

BASE: 47
1 (1)
47 (10)
2209 (100)
5447 (2Lg)
6413 (2gL)
14143 (6Ih)
14561 (6Rc)
15067 (6cR)
15293 (6hI)
25187 (BIg)
26291 (BgI)
40087 (I6h)
40321 (IBg)
40787 (ILc)
41065 (IRY)
41387 (IYR)
41569 (IcL)
41747 (IgB)
41789 (Ih6)
46525 (L2g)
47273 (LIc)
48193 (LcI)
48365 (Lg2)
59963 (R6c)
60523 (RIY)
61259 (RYI)
61435 (Rc6)
75979 (YIR)
76393 (YRI)
84251 (c6R)
84809 (cIL)
84947 (cLI)
85217 (cR6)
92893 (g2L)
93313 (gBI)
93635 (gIB)
93767 (gL2)
95287 (h6I)
95839 (hI6)

BASE: 48
1 (1)
48 (10)
2304 (100)
9412 (444)
38432 (GWW)
74528 (WGW)
75280 (WWG)

BASE: 49
1 (1)
7 (7)
49 (10)
343 (70)
2401 (100)
4955 (236)
5099 (263)
7307 (326)
7499 (362)
10093 (49m)
11257 (4Xa)
11401 (4aX)
11965 (4m9)
14507 (623)
14555 (632)
16807 (700)
21853 (94m)
23213 (9Wa)
23405 (9aW)
23965 (9m4)
30029 (COf)
30367 (CVa)
30607 (CaV)
30845 (CfO)
34685 (ELg)
35693 (EgL)
37231 (FOe)
37999 (FeO)
51149 (LEg)
52493 (LgE)
56435 (NOa)
57011 (NaO)
58253 (OCf)
58399 (OFe)
58787 (ONa)
59411 (OaN)
59599 (OeF)
59645 (OfC)
75055 (VCa)
76207 (VaC)
77309 (W9a)
78605 (Wa9)
79465 (X4a)
81001 (Xa4)
85993 (Zdl)
86187 (Zhj)
86283 (Zjh)
86377 (Zld)
86665 (a4X)
86909 (a9W)
87055 (aCV)
87587 (aNO)
87635 (aON)
87967 (aVC)
88013 (aW9)
88057 (aX4)
90795 (bdl)
91179 (bld)
95401 (dZl)
95499 (dbl)
95977 (dlZ)
95979 (dlb)
96799 (eFO)
97231 (eOF)
99053 (fCO)
99629 (fOC)

BASE: 56
1 (1)
56 (10)
3136 (100)
6502 (246)
6612 (264)
12662 (426)
12882 (462)
18932 (624)
19042 (642)
51568 (GOm)
52888 (GmO)
76208 (OGm)
77968 (OmG)

BASE: 57
1 (1)
57 (10)
3249 (100)
6619 (227)
6899 (272)
10827 (3Is)
12843 (3sI)
13229 (445)
13285 (454)
14359 (4Nq)
14867 (4Wl)
15707 (4lW)
15983 (4qN)
16477 (544)
22859 (722)
23255 (78u)
25063 (7ee)
25943 (7u8)
26447 (87u)
27637 (8Sn)
28813 (8nS)
29191 (8u7)
53005 (GHq)
53627 (GSl)
54691 (GlS)
54965 (GqH)
56197 (HGq)
57101 (HWi)
57773 (HiW)
58213 (HqG)
58707 (I3s)
59559 (IIp)
60237 (IUj)
61077 (IjU)
61407 (IpI)
61563 (Is3)
63935 (Jcc)
75007 (N4q)
76367 (NSi)
77263 (NiS)
77695 (Nq4)
83089 (PWe)
83537 (PeW)
91477 (S8n)
91931 (SGl)
92327 (SNi)
92609 (SSf)
93337 (SfS)
93503 (SiN)
93667 (SlG)
93773 (Sn8)
98541 (UIj)

